Q-tables,States,Actions
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.005000000000000001,0.0
"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.004999999999999999,0.0010000000000000009
"[0.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0]",-0.005000000000000002,-0.003999999999999998
"[1.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.013000000000000001,0.0
"[1.0, 0.0, 4.0, 0.0, 0.0, 2.0, 0.0, 0.0]",-0.020000000000000004,0.0
"[1.0, 1.0, 4.0, 0.0, 1.0, 2.0, 0.0, 0.0]",-0.008000000000000002,0.0
"[0.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 0.0]",0.019000000000000003,0.0
"[0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0.0171,0.0
"[0.0, 1.0, 2.0, 1.0, 2.0, 0.0, 0.0, 1.0]",-0.01,0.0
"[1.0, 0.0, 3.0, 2.0, 1.0, 0.0, 0.0, 0.0]",0.000999999999999998,0.0
"[1.0, 0.0, 3.0, 1.0, 0.0, 1.0, 0.0, 0.0]",-0.020000000000000004,0.0
"[1.0, 1.0, 3.0, 0.0, 0.0, 2.0, 0.0, 0.0]",-0.015000000000000003,0.0
"[0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.011000000000000005,0.0
"[0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.003999999999999998,0.0
"[1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.038000000000000006,0.0
"[1.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.006000000000000001,0.0
"[1.0, 1.0, 4.0, 0.0, 0.0, 1.0, 0.0, 0.0]",-0.001999999999999999,0.0
"[0.0, 0.0, 4.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.003,0.0
"[0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.0010000000000000009,0.0
"[0.0, 1.0, 4.0, 1.0, 1.0, 0.0, 0.0, 0.0]",-0.007000000000000001,0.0
"[0.0, 1.0, 3.0, 1.0, 2.0, 0.0, 0.0, 0.0]",-0.009999999999999998,0.0
"[0.0, 1.0, 2.0, 1.0, 2.0, 0.0, 0.0, 0.0]",-0.022000000000000006,0.0
"[0.0, 1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 2.0]",-0.024999999999999994,0.0
"[0.0, 1.0, 0.0, 2.0, 2.0, 0.0, 1.0, 2.0]",-0.025,-0.0028420000000000294
"[0.0, 1.0, 1.0, 2.0, 2.0, 0.0, 1.0, 2.0]",-0.031000000000000007,-0.013908942200000001
"[0.0, 1.0, 2.0, 2.0, 2.0, 0.0, 2.0, 2.0]",-0.039999999999999994,-0.00024700000000000936
"[1.0, 0.0, 2.0, 2.0, 2.0, 0.0, 1.0, 0.0]",0.044,0.0
"[1.0, 0.0, 3.0, 2.0, 1.0, 1.0, 2.0, 0.0]",0.0010000000000000009,0.0
"[1.0, 1.0, 4.0, 1.0, 0.0, 2.0, 1.0, 0.0]",-0.007999999999999985,0.0
"[0.0, 0.0, 4.0, 1.0, 0.0, 0.0, 1.0, 0.0]",0.0020000000000000018,0.0
"[0.0, 0.0, 3.0, 1.0, 1.0, 0.0, 1.0, 0.0]",-0.013000000000000012,0.0
"[0.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 0.0]",-0.015999999999999993,0.0
"[0.0, 1.0, 1.0, 2.0, 1.0, 0.0, 1.0, 1.0]",-0.023,0.0
"[0.0, 1.0, 0.0, 2.0, 1.0, 0.0, 2.0, 1.0]",-0.025,0.017999999999999995
"[1.0, 0.0, 2.0, 1.0, 2.0, 0.0, 1.0, 0.0]",-0.015399999999999997,-0.016000000000000004
"[1.0, 0.0, 4.0, 1.0, 1.0, 0.0, 1.0, 0.0]",0.1846,0.0
"[1.0, 1.0, 5.0, 0.0, 2.0, 0.0, 0.0, 0.0]",-0.0040000000000000036,0.0
